test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
ROSACE_tests	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	0	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim1	rep1	rd1
ENRICH2_tests	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	0	sim1	rep1	rd1
DIMSUM_tests	0	0.18632818981251037	0	0.720590675294508	0.0930811348929816	NA	0	0	sim1	rep1	rd1
ROSACE_tests	0.14567778330844533	0.08329185332669653	0.30180852828936455	0.4692218350754936	0	0.6744530960326288	0.636231884057971	0.005	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim1	rep1	rd1
ENRICH2_tests	0.15413970466235274	0.07482993197278912	0.4961008793761407	0.2749294839887174	0	0.7629497320745088	0.6731884057971015	0.005	sim1	rep1	rd1
DIMSUM_tests	0.13539074166251866	0.0509374481499917	0.484154637464742	0.23643603782976605	0.0930811348929816	0.7814675950723085	0.7266251113089938	0.005	sim1	rep1	rd1
ROSACE_tests	0.15314418450306952	0.07582545213207234	0.3268624522979924	0.44416791106686576	0	0.6809540269616315	0.6688405797101449	0.01	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim1	rep1	rd1
ENRICH2_tests	0.16226978596316574	0.0666998506719761	0.5165090426414468	0.2545213207234113	0	0.760938645807871	0.708695652173913	0.01	sim1	rep1	rd1
DIMSUM_tests	0.1408661025385764	0.04546208727393396	0.5024058403849344	0.2181848349095736	0.0930811348929816	0.7810162496775859	0.7560106856634016	0.01	sim1	rep1	rd1
ROSACE_tests	0.171395387423262	0.05757424921187987	0.4103202256512361	0.3607101377136221	0	0.7053622361665717	0.7485507246376811	0.05	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim1	rep1	rd1
ENRICH2_tests	0.18218018914883027	0.0467894474863116	0.5788949726231957	0.19213539074166253	0	0.7606278613472858	0.7956521739130435	0.05	sim1	rep1	rd1
DIMSUM_tests	0.15397378463580555	0.03235440517670483	0.5525136884021902	0.1680769868923179	0.0930811348929816	0.7820573038985439	0.8263579697239537	0.05	sim1	rep1	rd1
ROSACE_tests	0	0.2588352414136386	0	0.7411647585863613	0	NA	0	0	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim10	rep1	rd1
ENRICH2_tests	0	0.2588352414136386	0	0.7411647585863613	0	NA	0	0	sim10	rep1	rd1
DIMSUM_tests	0	0.2145345943255351	0	0.6898954703832753	0.09556993529118964	NA	0	0	sim10	rep1	rd1
ROSACE_tests	0.1645926663348266	0.094242575078812	0.28787124605939934	0.453293512526962	0	0.6362302896956362	0.6358974358974359	0.005	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim10	rep1	rd1
ENRICH2_tests	0.17803218848515015	0.08080305292848847	0.48149991703998674	0.25966484154637465	0	0.7300628930817611	0.6878205128205128	0.005	sim10	rep1	rd1
DIMSUM_tests	0.15762402521984403	0.05691056910569105	0.4662352745976439	0.22366019578563132	0.09556993529118964	0.7473404255319149	0.7347254447022429	0.005	sim10	rep1	rd1
ROSACE_tests	0.17305458768873402	0.085780653724904593	0.3084453293512527	0.4327194292351087	0	0.6405926946933149	0.6685897435897435	0.01	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim10	rep1	rd1
ENRICH2_tests	0.18500082960013273	0.07383441181350589	0.5002488800398208	0.24091587854654056	0	0.7300242130750605	0.7147435897435898	0.01	sim10	rep1	rd1
DIMSUM_tests	0.16193794591007135	0.05259664841546375	0.4839887174381948	0.20590675294508048	0.09556993529118964	0.7492936039044439	0.7548337200309359	0.01	sim10	rep1	rd1
ROSACE_tests	0.1911398705823793	0.06769537083125933	0.3882528621204579	0.35291189646590343	0	0.6701030927835052	0.7384615384615385	0.05	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim10	rep1	rd1
ENRICH2_tests	0.2042475526796084	0.0545876887340302	0.5564957690393231	0.1846689895470383	0	0.731515812431843	0.7891025641025641	0.05	sim10	rep1	rd1
DIMSUM_tests	0.17438194790111167	0.04015264642442343	0.5317736850837896	0.15812178529948565	0.09556993529118964	0.7530545112781956	0.8128383604021655	0.05	sim10	rep1	rd1
ROSACE_tests	0	0.2654720424755268	0	0.7345279575244732	0	NA	0	0	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim2	rep1	rd1
ENRICH2_tests	0	0.2654720424755268	0	0.7345279575244732	0	NA	0	0	sim2	rep1	rd1
DIMSUM_tests	0	0.22216691554670648	0	0.6884021901443504	0.08943089430894309	NA	0	0	sim2	rep1	rd1
ROSACE_tests	0.16094242575078813	0.10452961672473868	0.27559316409490625	0.45893479342956695	0	0.6313188901558342	0.60625	0.005	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim2	rep1	rd1
ENRICH2_tests	0.17687074829931973	0.08860129417620707	0.47602455616392897	0.2585034013605442	0	0.7290978398983481	0.66625	0.005	sim2	rep1	rd1
DIMSUM_tests	0.1601128256180521	0.06205408992865439	0.46324871411979424	0.22515347602455615	0.08943089430894309	0.7431461272291722	0.720687079910381	0.005	sim2	rep1	rd1
ROSACE_tests	0.16923842707814837	0.09623361539737846	0.30247220839555333	0.43205574912891986	0	0.6412240590925079	0.6375000000000001	0.01	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim2	rep1	rd1
ENRICH2_tests	0.1854985896797743	0.07997345279575245	0.501244400199104	0.2332835573253692	0	0.7298864460014496	0.69875	0.01	sim2	rep1	rd1
DIMSUM_tests	0.16608594657375145	0.05608096897295504	0.4826613572258171	0.2057408329185333	0.08943089430894309	0.7439897698209719	0.7475728155339806	0.01	sim2	rep1	rd1
ROSACE_tests	0.18865107018417124	0.07682097229135557	0.3822797411647586	0.3522482163597146	0	0.6695727986050566	0.7106250000000001	0.05	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim2	rep1	rd1
ENRICH2_tests	0.20540899286543887	0.06006304961008794	0.5538410486145677	0.18068690890990544	0	0.7294580419580419	0.77375	0.05	sim2	rep1	rd1
DIMSUM_tests	0.17852994856479176	0.04363696698191471	0.5291189646590343	0.1592832254853161	0.08943089430894309	0.7477139507620164	0.8035847647498133	0.05	sim2	rep1	rd1
ROSACE_tests	0	0.25551684088269455	0	0.7444831591173054	0	NA	0	0	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim3	rep1	rd1
ENRICH2_tests	0	0.25551684088269455	0	0.7444831591173054	0	NA	0	0	sim3	rep1	rd1
DIMSUM_tests	0	0.2105525136884022	0	0.6907250705160113	0.09872241579558652	NA	0	0	sim3	rep1	rd1
ROSACE_tests	0.1606105856976937	0.09490625518500084	0.29019412643106024	0.4542890326862452	0	0.6437246963562753	0.6285714285714286	0.005	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim3	rep1	rd1
ENRICH2_tests	0.17305458768873402	0.08246225319396051	0.48797079807532767	0.2565123610419778	0	0.73820281124498	0.6772727272727272	0.005	sim3	rep1	rd1
DIMSUM_tests	0.15530114484818316	0.05525136884021901	0.4728720756595321	0.2178529948564792	0.09872241579558652	0.7527733755942948	0.7375886524822696	0.005	sim3	rep1	rd1
ROSACE_tests	0.1674133067861291	0.08810353409656546	0.3172390907582545	0.42724406835905093	0	0.6545703526189661	0.6551948051948052	0.01	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim3	rep1	rd1
ENRICH2_tests	0.1805209888833582	0.07499585199933632	0.5111996017919362	0.2332835573253692	0	0.7390261453585992	0.7064935064935064	0.01	sim3	rep1	rd1
DIMSUM_tests	0.16110834577733532	0.04944416791106686	0.49079143852663015	0.1999336319893811	0.09872241579558652	0.7528633240010181	0.7651694247438928	0.01	sim3	rep1	rd1
ROSACE_tests	0.18566450970632156	0.06985233117637299	0.39671478347436534	0.3477683756429401	0	0.6811965811965811	0.7266233766233766	0.05	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim3	rep1	rd1
ENRICH2_tests	0.1992699518831923	0.05624688899950224	0.5661191305790609	0.17836402853824457	0	0.7396488185562541	0.7798701298701298	0.05	sim3	rep1	rd1
DIMSUM_tests	0.17338642774182844	0.03716608594657375	0.5347602455616393	0.155964824954372	0.09872241579558652	0.7551546391752577	0.8234830575256107	0.05	sim3	rep1	rd1
ROSACE_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim4	rep1	rd1
ENRICH2_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4	rep1	rd1
DIMSUM_tests	0	0.19644931143188984	0	0.708312593330015	0.09523809523809525	NA	0	0	sim4	rep1	rd1
ROSACE_tests	0.1521486643437863	0.08677617388418782	0.296499087439854	0.4645760743321719	0	0.6608727810650888	0.6368055555555555	0.005	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim4	rep1	rd1
ENRICH2_tests	0.16326530612244897	0.07565953210552513	0.49328023892483824	0.26779492284718764	0	0.7513267626990144	0.6833333333333332	0.005	sim4	rep1	rd1
DIMSUM_tests	0.1440185830429733	0.05243072838891654	0.47851335656213706	0.2297992367678779	0.09523809523809525	0.7686567164179104	0.7331081081081081	0.005	sim4	rep1	rd1
ROSACE_tests	0.15845362535258006	0.08047121287539406	0.3215530114484818	0.439522150323544	0	0.6698928447977878	0.6631944444444445	0.01	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim4	rep1	rd1
ENRICH2_tests	0.17239090758254522	0.06653393064542891	0.5171727227476356	0.24390243902439024	0	0.7499999999999999	0.7215277777777778	0.01	sim4	rep1	rd1
DIMSUM_tests	0.14916210386593662	0.04728720756595321	0.49759415961506553	0.2107184337149494	0.09523809523809525	0.7693689071318626	0.7592905405405406	0.01	sim4	rep1	rd1
ROSACE_tests	0.1752115480338477	0.06371329019412643	0.407001825120292	0.35407333665173385	0	0.6990595611285267	0.7333333333333334	0.05	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim4	rep1	rd1
ENRICH2_tests	0.18931475029036005	0.04961008793761407	0.5692716110834578	0.1918035506885681	0	0.7504374453193351	0.7923611111111111	0.05	sim4	rep1	rd1
DIMSUM_tests	0.16144018583042974	0.0350091256014601	0.5422266467562635	0.16608594657375145	0.09523809523809525	0.7705729780712096	0.8217905405405405	0.05	sim4	rep1	rd1
ROSACE_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim5	rep1	rd1
ENRICH2_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5	rep1	rd1
DIMSUM_tests	0	0.20142691222830592	0	0.6993529118964659	0.09922017587522812	NA	0	0	sim5	rep1	rd1
ROSACE_tests	0.15878546540567445	0.09009457441513193	0.2923510867761739	0.45876887340301975	0	0.6480323648400147	0.638	0.005	sim5	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim5	rep1	rd1
ENRICH2_tests	0.1672473867595819	0.08163265306122448	0.4853160776505725	0.2658038825286212	0	0.7437070938215102	0.672	0.005	sim5	rep1	rd1
DIMSUM_tests	0.1483325037332006	0.05309440849510536	0.47220839555334326	0.2271445163431226	0.09922017587522812	0.7609625668449198	0.7364085667215815	0.005	sim5	rep1	rd1
ROSACE_tests	0.16575410652065703	0.08312593330014932	0.32072341131574583	0.4303965488634478	0	0.6592769440654843	0.6659999999999999	0.01	sim5	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim5	rep1	rd1
ENRICH2_tests	0.17637298821967812	0.07250705160112826	0.5082130413140866	0.242906918865107	0	0.7423654871546292	0.7086666666666667	0.01	sim5	rep1	rd1
DIMSUM_tests	0.15297826447652232	0.04844864775178364	0.48946407831425254	0.2098888335822134	0.09922017587522812	0.7618801652892562	0.7594728171334432	0.01	sim5	rep1	rd1
ROSACE_tests	0.1831757093081135	0.06570433051269288	0.3998672639787622	0.35125269620043137	0	0.6858281161070006	0.7360000000000001	0.05	sim5	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim5	rep1	rd1
ENRICH2_tests	0.19495603119296495	0.05392400862784138	0.5677783308445329	0.1833416293346607	0	0.744398520774418	0.7833333333333333	0.05	sim5	rep1	rd1
DIMSUM_tests	0.16525634644101542	0.03617056578729052	0.5427244068359051	0.1566285050605608	0.09922017587522812	0.7665807358800094	0.8204283360790774	0.05	sim5	rep1	rd1
ROSACE_tests	0	0.27542724406835906	0	0.7245727559316409	0	NA	0	0	sim6	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim6	rep1	rd1
ENRICH2_tests	0	0.27542724406835906	0	0.7245727559316409	0	NA	0	0	sim6	rep1	rd1
DIMSUM_tests	0	0.23145843703334992	0	0.6796084287373486	0.08893313422930148	NA	0	0	sim6	rep1	rd1
ROSACE_tests	0.17156130744980921	0.10386593661854986	0.2692882030861125	0.4552845528455284	0	0.6108392924350772	0.6228915662650603	0.005	sim6	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim6	rep1	rd1
ENRICH2_tests	0.19263315082130417	0.08279409324705492	0.47834743653558986	0.2462253193960511	0	0.7129080118694362	0.6993975903614458	0.005	sim6	rep1	rd1
DIMSUM_tests	0.17438194790111167	0.05707648913223826	0.4647419943587191	0.2148664343786295	0.08893313422930148	0.7271547248182763	0.753405017921147	0.005	sim6	rep1	rd1
ROSACE_tests	0.179525468724075	0.09590177534428404	0.29815828770532604	0.4264144682263149	0	0.6241750607849949	0.6518072289156626	0.01	sim6	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim6	rep1	rd1
ENRICH2_tests	0.20009955201592833	0.07532769205243073	0.5007466401194625	0.22382611581217857	0	0.7144886363636364	0.7265060240963855	0.01	sim6	rep1	rd1
DIMSUM_tests	0.17836402853824457	0.05309440849510536	0.485813837730214	0.19379459100713456	0.08893313422930148	0.731451411441419	0.7706093189964158	0.01	sim6	rep1	rd1
ROSACE_tests	0.2029201924672308	0.07250705160112826	0.3832752613240418	0.3412974946075991	0	0.653835267478064	0.7367469879518072	0.05	sim6	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim6	rep1	rd1
ENRICH2_tests	0.22216691554670648	0.05326032852165256	0.5599800895968143	0.1645926663348266	0	0.7159524819686041	0.8066265060240964	0.05	sim6	rep1	rd1
DIMSUM_tests	0.19296499087439853	0.03849344615895139	0.5390741662518665	0.140534262485482	0.08893313422930148	0.736400725294651	0.8336917562724014	0.05	sim6	rep1	rd1
ROSACE_tests	0	0.2422432387589182	0	0.7577567612410818	0	NA	0	0	sim7	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim7	rep1	rd1
ENRICH2_tests	0	0.2422432387589182	0	0.7577567612410818	0	NA	0	0	sim7	rep1	rd1
DIMSUM_tests	0	0.20109507217521155	0	0.7076489132238262	0.09125601460096232	NA	0	0	sim7	rep1	rd1
ROSACE_tests	0.155964824954372	0.0862784138045462	0.28637796582047453	0.4713787954206073	0	0.6474118529632409	0.6438356164383562	0.005	sim7	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim7	rep1	rd1
ENRICH2_tests	0.16326530612244897	0.07897793263646923	0.48913223826115815	0.2686245229799237	0	0.7497456765005087	0.673972602739726	0.005	sim7	rep1	rd1
DIMSUM_tests	0.14501410320225652	0.05608096897295504	0.47353575576572093	0.2341131574581052	0.09125601460096232	0.7655579399141631	0.7211221122112211	0.005	sim7	rep1	rd1
ROSACE_tests	0.16226978596316574	0.07997345279575245	0.3169072507051601	0.4408495105359217	0	0.6613573407202216	0.6698630136986301	0.01	sim7	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim7	rep1	rd1
ENRICH2_tests	0.16990210718433715	0.07234113157458105	0.5120292019246723	0.2457275593164095	0	0.7508515815085157	0.7013698630136986	0.01	sim7	rep1	rd1
DIMSUM_tests	0.15015762402521984	0.0509374481499917	0.49328023892483824	0.2143686742989879	0.09125601460096232	0.7666322846828262	0.7466996699669967	0.01	sim7	rep1	rd1
ROSACE_tests	0.18085282893645263	0.06139040982246557	0.4033515845362535	0.3544051767048283	0	0.6904288554387958	0.7465753424657534	0.05	sim7	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim7	rep1	rd1
ENRICH2_tests	0.18931475029036005	0.05292848846855815	0.569437531110005	0.1883192301310768	0	0.7504920183686857	0.7815068493150685	0.05	sim7	rep1	rd1
DIMSUM_tests	0.16276754604280735	0.03832752613240418	0.541894806703169	0.16575410652065703	0.09125601460096232	0.7690134212385213	0.8094059405940595	0.05	sim7	rep1	rd1
ROSACE_tests	0	0.2887008461921354	0	0.7112991538078646	0	NA	0	0	sim8	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim8	rep1	rd1
ENRICH2_tests	0	0.2887008461921354	0	0.7112991538078646	0	NA	0	0	sim8	rep1	rd1
DIMSUM_tests	0	0.23643603782976605	0	0.6616890658702506	0.1018748962999834	NA	0	0	sim8	rep1	rd1
ROSACE_tests	0.17803218848515015	0.11066865770698524	0.2699518831923013	0.4413472706155633	0	0.6025925925925926	0.6166666666666667	0.005	sim8	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim8	rep1	rd1
ENRICH2_tests	0.19479011116641776	0.0939107350257176	0.45113655218184834	0.2601626016260163	0	0.6984330850244028	0.674712643678161	0.005	sim8	rep1	rd1
DIMSUM_tests	0.17471378795420608	0.06172224987555998	0.4391903102704496	0.2224987555998009	0.1018748962999834	0.7154054054054053	0.7389473684210526	0.005	sim8	rep1	rd1
ROSACE_tests	0.18649410983905756	0.10220673635307782	0.29417620706819314	0.4171229467396715	0	0.6120124266482568	0.6459770114942529	0.01	sim8	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim8	rep1	rd1
ENRICH2_tests	0.2037497925999668	0.08495105359216858	0.4698855151816824	0.24141363862618215	0	0.6975369458128079	0.7057471264367816	0.01	sim8	rep1	rd1
DIMSUM_tests	0.18018914883026385	0.05624688899950224	0.45628007300481166	0.20540899286543887	0.1018748962999834	0.7168925964546402	0.7621052631578947	0.01	sim8	rep1	rd1
ROSACE_tests	0.20623859299817487	0.08246225319396051	0.3704994192799071	0.34079973452795753	0	0.6424050632911392	0.7143678160919541	0.05	sim8	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim8	rep1	rd1
ENRICH2_tests	0.2229965156794425	0.06570433051269288	0.5294508047121288	0.18184834909573583	0	0.703638368246968	0.7724137931034483	0.05	sim8	rep1	rd1
DIMSUM_tests	0.19279907084785133	0.04363696698191471	0.5067197610751618	0.15496930479508875	0.1018748962999834	0.72438330170778	0.8154385964912281	0.05	sim8	rep1	rd1
ROSACE_tests	0	0.21569603451136551	0	0.7843039654886345	0	NA	0	0	sim9	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim9	rep1	rd1
ENRICH2_tests	0	0.21569603451136551	0	0.7843039654886345	0	NA	0	0	sim9	rep1	rd1
DIMSUM_tests	0	0.1760411481665837	0	0.7300481168076987	0.0939107350257176	NA	0	0	sim9	rep1	rd1
ROSACE_tests	0.1333997013439522	0.0822963331674133	0.2968309274929484	0.4874730379956861	0	0.6899344388738913	0.6184615384615385	0.005	sim9	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim9	rep1	rd1
ENRICH2_tests	0.14169570267131243	0.0740003318400531	0.4987555998008959	0.2855483656877385	0	0.7787564766839378	0.6569230769230768	0.005	sim9	rep1	rd1
DIMSUM_tests	0.12659698025551683	0.04944416791106686	0.48299319727891155	0.2470549195287871	0.0939107350257176	0.7923244420250408	0.7191328934967012	0.005	sim9	rep1	rd1
ROSACE_tests	0.13937282229965156	0.07632321221171395	0.3253691720590675	0.45893479342956695	0	0.700107104605498	0.6461538461538462	0.01	sim9	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim9	rep1	rd1
ENRICH2_tests	0.15065538410486146	0.06504065040650407	0.5211548033847685	0.26314916210386596	0	0.775747098048901	0.6984615384615384	0.01	sim9	rep1	rd1
DIMSUM_tests	0.1322382611581218	0.04380288700846192	0.5015762402521985	0.22847187655550025	0.0939107350257176	0.7913612565445026	0.7511781338360037	0.01	sim9	rep1	rd1
ROSACE_tests	0.15430562468889994	0.06139040982246557	0.40534262485482	0.3789613406338145	0	0.7242810554402609	0.7153846153846154	0.05	sim9	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim9	rep1	rd1
ENRICH2_tests	0.16990210718433715	0.04579392732702837	0.5858636137381782	0.19844035175045627	0	0.7751920965971459	0.7876923076923077	0.05	sim9	rep1	rd1
DIMSUM_tests	0.14352082296333168	0.03252032520325203	0.5569935291189647	0.17305458768873402	0.0939107350257176	0.7951207958313595	0.8152686145146089	0.05	sim9	rep1	rd1
ROSACE_tests	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	0	sim1	rep1	rd3
SLR_tests	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	0	sim1	rep1	rd3
ENRICH2_tests	3.318400530944085e-4	0.22863779658204744	3.318400530944085e-4	0.7706985233117637	0	0.5	0.00144927536231884	0	sim1	rep1	rd3
